Source,Target,Weight,Type
Kilimanjaro_Young Miko,Kachipun_Young Miko,2,undirected
Kilimanjaro_Young Miko,Trending_Young Miko,3,undirected
Kilimanjaro_Young Miko,Vendetta_Young Miko,2,undirected
KLKNTOKI_Nath,FINA_Young Miko,3,undirected
KLKNTOKI_Nath,Peli-culeo_Cazzu,1,undirected
KLKNTOKI_Nath,Que Le Gusta el Flow_Snow Tha Product,2,undirected
Labios Mordidos_Kali Uchis & KAROL G,Chulo pt.2_Young Miko,2,undirected
Labios Mordidos_Kali Uchis & KAROL G,COLMILLO_Young Miko,1,undirected
Labios Mordidos_Kali Uchis & KAROL G,Peli-culeo_Cazzu,3,undirected
Lick My Pssy_Chzter,AKA LESBIANA SERPIENTA_SASHA SATHYA,3,undirected
Lick My Pssy_Chzter,Smoke Break_Young Miko,2,undirected
Lick My Pssy_Chzter,Three Now_Valen Etchegoyen,1,undirected
Lick My Pssy_Chzter,young_miko_metadata.rda,2,undirected
Linda_Tokischa & Rosalía,105 Freestyle_Young Miko,3,undirected
Linda_Tokischa & Rosalía,Hedonismo_Villano Antillano,1,undirected
Linda_Tokischa & Rosalía,young_miko_metadata.rda,2,undirected
Lisa_Young Miko,105 Freestyle_Young Miko,3,undirected
Lisa_Young Miko,Acento_Young Miko,1,undirected
Lisa_Young Miko,Brinca_Young Miko,2,undirected
Lisa_Young Miko,Condado_Young Miko,1,undirected
Lisa_Young Miko,SALVAJE_Young Miko,3,undirected
Mariposa_Isabella Lovestory,Deseándote_Nath,2,undirected
Mariposa_Isabella Lovestory,Mátame Marciana_Chzter,1,undirected
Mariposa_Isabella Lovestory,young_miko_metadata.rda,3,undirected
Más Allá de Mis Ojeras_Chzter,AKA LESBIANA SERPIENTA_SASHA SATHYA,2,undirected
Más Allá de Mis Ojeras_Chzter,Hipnotiza_Maria Becerra,2,undirected
Más Allá de Mis Ojeras_Chzter,Pornostar_Chocolate Remix,3,undirected
